Unit Code,Unit Title
EMT 1101,Engineering Drawing I
SMA 1108,Algebra
SMA 1109,Geometry and Linear Algebra
SMA 1117,Calculus I
SPH 2174,Physics for Engineers
SCH 2121,Chemistry for Engineers
IGS 1104,Introduction to Philosophy and Critical Thinking
EMT 1201,Workshop Processes and Practices I
EMT 1202,Material Science
EMT 1203,Engineering Drawing II
HNS 1100,Gender HIV/AIDS and Substance Use
SMA 1218,Calculus II
CCS 2101,Computer Programming
IGS 1201,Communication Skills: An Introduction to General Studies and African Civilization
EMT 2101,Workshop Processes and Practices II
EMT 2102,Computer Aided Design
EMT 2103,Planar Mechanics
EMT 2104,Analogue Electronics
SMA 2119,Calculus III
SMA 2232,Ordinary Differential Equation (ODE)
IGS 2101,Communication Skills: Africa’s Contribution to Mathematics and Film
EMT 2201,Engineering Mechanics
EMT 2202,Engineering Materials
EMT 2203,Circuit and Network Theory I
EMT 2204,Thermodynamics
EMT 2205,Fluid Mechanics
SMA 3244,Partial Differential Equations (PDE)
IGS 2202,Communication Skills: African Technology and Literature
EMT 2301,Internal Attachment
EMT 3101,Engineering Design Process
EMT 3102,Solid and Structural Mechanics I
EMT 3103,Electrical Machine Drive I
EMT 3104,Mechatronic System Programming I
EMT 3105,Circuit and Network Theory II
SMA 3121,Complex Analysis
IGS 3101,Communication Skills: Traditional African Health and Environmental Concerns
EMT 3201,Production Technology
EMT 3202,Mechatronic System Programming II
EMT 3203,Solid and Structural Mechanics II
EMT 3204,Electrical Machine Drives II
EMT 3205,Measurement and Instrumentation
EMT 3206,Digital Electronics I
IGS 3202,Communication Skills: The Arts of Africa
EMT 3301,Industrial Attachment I
EMT 4101,Mechanical Machine Design
EMT 4102,Control Engineering I
EMT 4103,Sensors and Transducers
EMT 4104,Design of Mechatronic System
EMT 4105,Digital Electronics II
SMA 3272,Statistics
IGS 4101,Critical Thinking & Communication Skills Capstone Project 1
EMT 4201,Spatial Mechanics
EMT 4202,Electronic Product Design
EMT 4203,Control Engineering II
EMT 4204,Power Electronics
EMT 4205,Microprocessors
SMA 3261,Numerical Methods
IGS 4202,Critical Thinking & Communication Skills Capstone Project 2
EMT 4301,Industrial Attachment II
EMT 5101,Project I
EMT 5102,Vibration
EMT 5103,Computer Controlled Manufacturing
EMT 5104,Industrial Management
EMT 5105,Electro-Hydraulic and Pneumatic System
EMT 5106,Industrial Robotics
EMT 5107,Transmission Systems
EMT 5108,Automotive Networking System
EMT 5201,Project II
EMT 5202,Manufacturing Process Planning
EMT 5203,Experimental Stress Analysis
EMT 5204,Industrial Law
EMT 5205,Manufacturing Technology
EMT 5206,Programmable Logic Controllers and Their Applications
EMT 5207,Automotive System Compatibility and Fault Diagnosis
EMT 5208,Utility Features and Vehicle Security Systems
